panel,model,horizon_months,auroc,ci_low,ci_high,sensitivity,specificity
B_fixed_horizon_auroc,ALSFRS slope,12,0.734464391398698,0.6719942534071304,0.7986017491030103,,
B_fixed_horizon_auroc,ALSFRS slope,24,0.7004842615012107,0.6243233911978519,0.7756661124823307,,
B_fixed_horizon_auroc,ALSFRS slope,36,0.7671088999447209,0.6995816184517739,0.825220442343604,,
B_fixed_horizon_auroc,ALSFRS slope,54,0.8743414120126449,0.816891794673335,0.9300464527027026,,
B_fixed_horizon_auroc,NfL + slope,12,0.7657366684991753,0.7050518951541969,0.8224527716439969,,
B_fixed_horizon_auroc,NfL + slope,24,0.7140365448504983,0.6468348319185612,0.7848670482936606,,
B_fixed_horizon_auroc,NfL + slope,36,0.7827664399092971,0.7228056237497728,0.8440685471935473,,
B_fixed_horizon_auroc,NfL + slope,54,0.8456146657081237,0.7843333783263216,0.90197769425779,,
B_fixed_horizon_auroc,Plasma-5,12,0.5711843230091406,0.4999866755490295,0.6415612109209538,,
B_fixed_horizon_auroc,Plasma-5,24,0.6918482647296207,0.620382525171333,0.7613352402484699,,
B_fixed_horizon_auroc,Plasma-5,36,0.7083471531232726,0.6282639755700309,0.7927660734675405,,
B_fixed_horizon_auroc,Plasma-5,54,0.8401826484018264,0.779762331838565,0.8960376045523104,,
B_fixed_horizon_auroc,Plasma-5 + NfL,12,0.7016217702034084,0.637840254294232,0.7690425374022407,,
B_fixed_horizon_auroc,Plasma-5 + NfL,24,0.7370431893687708,0.6678587512047839,0.8057924445263244,,
B_fixed_horizon_auroc,Plasma-5 + NfL,36,0.773015873015873,0.6951341477671265,0.8456649531667351,,
B_fixed_horizon_auroc,Plasma-5 + NfL,54,0.8795830337886412,0.8258983097126174,0.9266001950399715,,
B_fixed_horizon_auroc,Plasma-5 + slope,12,0.7163148550009865,0.656342871879444,0.7806501354579881,,
B_fixed_horizon_auroc,Plasma-5 + slope,24,0.7541565778853915,0.6829358863012523,0.8229594293771123,,
B_fixed_horizon_auroc,Plasma-5 + slope,36,0.8182421227197346,0.7388184375650088,0.8878467849123969,,
B_fixed_horizon_auroc,Plasma-5 + slope,54,0.9506498068141903,0.9185296377431926,0.9762089070574795,,
B_fixed_horizon_auroc,Plasma-5 + NfL + slope,12,0.7614760857614074,0.6980715291435724,0.8244744675263739,,
B_fixed_horizon_auroc,Plasma-5 + NfL + slope,24,0.7694352159468438,0.6964725549051582,0.8340215793089645,,
B_fixed_horizon_auroc,Plasma-5 + NfL + slope,36,0.8304988662131519,0.7606662991829899,0.8961747131312632,,
B_fixed_horizon_auroc,Plasma-5 + NfL + slope,54,0.9473400431344355,0.9186521927486004,0.9735299767200605,,
D_sens_spec,NfL,24,,,,0.5930232558139535,0.7285714285714285
D_sens_spec,NfL,36,,,,0.5663265306122449,0.7777777777777778
D_sens_spec,ALSFRS slope,24,,,,0.5819209039548022,0.6857142857142857
D_sens_spec,ALSFRS slope,36,,,,0.5671641791044776,0.8
D_sens_spec,NfL + slope,24,,,,0.5930232558139535,0.7285714285714285
D_sens_spec,NfL + slope,36,,,,0.5867346938775511,0.8666666666666667
D_sens_spec,Plasma-5,24,,,,0.5875706214689266,0.7142857142857143
D_sens_spec,Plasma-5,36,,,,0.5572139303482587,0.7555555555555555
D_sens_spec,Plasma-5 + NfL,24,,,,0.5930232558139535,0.7285714285714285
D_sens_spec,Plasma-5 + NfL,36,,,,0.5714285714285714,0.8
D_sens_spec,Plasma-5 + slope,24,,,,0.5988700564971752,0.7428571428571429
D_sens_spec,Plasma-5 + slope,36,,,,0.572139303482587,0.8222222222222222
D_sens_spec,Plasma-5 + NfL + slope,24,,,,0.6104651162790697,0.7714285714285715
D_sens_spec,Plasma-5 + NfL + slope,36,,,,0.576530612244898,0.8222222222222222
